codigo_cnv,id_detalle_cnv,denominacion_cnv,verificado_por,curado_en
1476,86449,CICLO NOVA ESTRUCTURADO IV,nombre,2026-08-23
1477,86478,BAVSA RENTA BALANCEADO IV,nombre,2026-08-23
1478,86479,BAVSA AHORRO PLUS,nombre,2026-08-23
1479,86480,BAVSA AHORRO,nombre,2026-08-23
1482,86551,IAM LIQUIDEZ EN DÓLARES,nombre,2026-08-23
1483,86552,IAM RETORNO DÓLARES,nombre,2026-08-23
1484,86588,TORONTO TRUST INFRAESTRUCTURA F.C.I.,nombre,2026-08-23
1485,86445,APOLO FONDO COMÚN DE INVERSIÓN ABIERTO PYMES,nombre,2026-08-23
1487,86525,CHAMPAQUÍ RENTA VARIABLE,nombre,2026-08-23
1488,86576,TANDEM - PESOS AHORRO PLUS FCI,nombre,2026-08-23
1489,86553,TANDEM - DOLARES RETORNO TOTAL FCI,nombre,2026-08-23
1490,86526,CHAMPAQUÍ RENTA PESOS,nombre,2026-08-23
1491,86527,CHAMPAQUÍ RENTA PLUS,nombre,2026-08-23
1492,86528,CHAMPAQUÍ RENTA DÓLAR,nombre,2026-08-23
1494,86522,NOVUS RENTA DÓLAR FCI,nombre,2026-08-23
1495,86523,NOVUS CAPITAL FCI,nombre,2026-08-23
1496,86590,ARGENTARIA BAVSA GLOBAL,nombre,2026-08-23
1505,86630,ARGENFUNDS RENTA FIJA II FCI,nombre,2026-08-23
1508,87361,DXA PMKT TOTAL RETURN FCI,nombre,2026-08-23
1509,87362,INSIDER RETORNO ESTRATÉGICO,nombre,2026-08-23
1510,87360,DRACMA ESTRATEGIA DÓLAR,nombre,2026-08-23
1511,86616,BALANZ CAPITAL ESTRATEGIA V USD,nombre,2026-08-23
1516,86585,IOL DÓLAR AHORRO PLUS,nombre,2026-08-23
1517,86578,Adcap Balanceado VII,nombre,2026-08-23
1518,86577,Adcap Balanceado IX,nombre,2026-08-23
1519,86580,ADCAP FINANCIAMIENTO MEGRA,nombre,2026-08-23
1521,86581,Adcap Balanceado XX,nombre,2026-08-23
1522,86597,ALLARIA DOLAR AHORRO FCI,nombre,2026-08-23
1523,86598,ALLARIA DÓLAR AHORRO PLUS,nombre,2026-08-23
1524,86599,ALLARIA DOLAR RETORNO TOTAL FCI,nombre,2026-08-23
1527,86650,CICLO NOVA ESTRATÉGICO,nombre,2026-08-23
1528,86666,SCHRODER CRECIMIENTO F.C.I.,nombre,2026-08-23
1529,86667,SCHRODER CRECIMIENTO DOS F.C.I.,nombre,2026-08-23
153,63227,Schroder Renta Variable Fondo Común de Inversión,nombre,2026-08-23
1530,86668,SCHRODER CRECIMIENTO TRES F.C.I.,nombre,2026-08-23
1532,86765,1822 RAÍCES RENTA EN DÓLARES,nombre,2026-08-23
1534,86767,1822 RAICES RENTA FIJA INTERNACIONAL,nombre,2026-08-23
1537,86711,APOLO DOLARES,nombre,2026-08-23
1541,86773,SBS PATRIMONIO VIII FCI,nombre,2026-08-23
